Unique ID,Topic,Viewed,Initiated Service Request
1,How To Apply for a Position,1607,0
2,Police Department Job Opportunities,705,0
3,Code Enforcement Unit,630,0
4,Other - Miscellaneous,545,29
5,Building Safety Code Violations,477,72
6,Contact City Council,468,0
7,Pay a Parking Ticket,423,0
8,Contact Boulder Municipal Court,348,15
9,Sales Tax,322,0
10,Contact Open Space and Mountain Parks,71,225
11,Water System Maintenance,251,41
12,Broken Parking Meter or Pay Station,245,30
13,Sealing Minor in Possession (MIP) Records,267,0
14,Potholes,155,99
15,Dog Licensing,253,0
16,Firefighter Recruitment,247,0
17,Volunteer Opportunities,178,0
18,Rental Housing Licensing Code Violations,170,0
19,Damage Claims,145,19
20,Trash Concerns,129,27
21,Tax Rates,153,0
22,Energy Future,139,1
23,Street Maintenance,97,42
24,Employee Benefits Guide,131,0
25,Contact Human Resources,130,0
26,Internships and Work-Study Positions,129,0
27,Building Permits,129,0
28,Court ordered classes (MIP),122,0
29,Contact Parking Services,94,24
30,General Court Questions,110,0
31,Shelter and Facility Rentals on Open Space,75,32
32,Traffic Signals,74,30
33,Minor in Possession (MIP),96,0
34,Website Issues,86,7
35,Parking Tickets,91,0
36,Pay a Photo Enforcement Ticket,87,0
37,Business Services,86,0
38,Contact Public Works,52,34
39,Employment Definitions,83,0
40,Water Utility Billing,74,9
41,Boulder Reservoir,81,1
42,Sidewalk Repair and Maintenance,71,9
43,Dogs on Open Space and Mountain Parks,75,4
44,Weed Control and Tall Vegetation,65,11
45,Sidewalk Snow & Ice Removal,75,0
46,"Animal Control, Rules & Regulations",74,0
47,Drinking Water Quality,62,8
48,Sanitary Sewer Maintenance,54,15
49,Bears,65,0
50,Living with Urban Wildlife,64,0
51,Wildlife Issue or Sighting,36,28
52,Construction Use Tax,63,0
53,Business Licensing Questions,54,9
54,Contact Parks and Recreation,41,20
55,Traffic Signs and Markings,38,22
56,Snow Plow Request,44,16
57,Wood Burning Restrictions,55,3
58,Animal Noise (Barking Dogs),57,0
59,Photo Enforcement Information,57,0
60,Storm Drain Problems,44,12
61,Jury Duty,55,0
62,Frozen Water Pipes,54,0
63,Overgrown Sidewalk Obstructions,47,6
64,Liquor Licensing,53,0
65,Towed/Impounded Vehicles,52,0
66,Speaking at City Council Meetings,51,0
67,Street Lights,45,5
68,Signs in the Right-of-way,46,3
69,Mountain Lions,48,0
70,Boulder City Limits,47,0
71,Mobile Food Vehicles,47,0
72,Cats in Boulder,47,0
73,Fluoride,42,4
74,Pearl Street and University Hill Vending Cart Information,46,0
75,Contact City Attorney,44,2
76,Holidays,46,0
77,Open Space and Trail Closures,40,5
78,Backflow Prevention - Drinking Water,40,3
79,Smoking in Public Places,40,3
80,Pay Your Utility Bill and MyBUB (MyBoulderUtilityBill Website),36,4
81,Special Events Requirements and Other Questions,40,0
82,Crosswalks and Flashing Crosswalks,35,5
83,Biking,31,9
84,Affordable Homeownership,39,0
85,Train Noise and Quiet Zones,39,0
86,Prairie Dogs,39,0
87,"Debris, Trash and Road Kill",29,10
88,Parks and Recreation - Online Registration,39,0
89,Medical Marijuana,39,0
90,Park Maintenance Issues,29,9
91,Defenses in Municipal Court Traffic Cases,38,0
92,Sewer Odor Problem,38,0
93,Contact Community Planning and Sustainability,34,4
94,Electric Vehicles and Charging Stations,37,0
95,Leash Law and Tethering,37,0
96,Graffiti,19,18
97,Close Call Form,28,8
98,Contractor Licensing,35,0
99,Pearl Street Mall,35,0
100,Construction Meters/Hydrant Meters,35,0
101,Valmont Bike Park,25,10
102,Transit,34,0
103,SmartRegs,34,0
104,Trails and Trailheads on Open Space,32,1
105,Community Service Form,33,0
106,Injured and Orphaned Small Wildlife,32,0
107,Outdoor Furniture Restriction (University Hill Neighborhood Only),30,2
108,Multi-use Path Maintenance,24,7
109,Locate an Underground Utility,31,0
110,Inspections,30,0
111,"Rentals - Landlords, Tenant & Roommate Information",30,0
112,Airport,30,0
113,Bulk Water Sales,30,0
114,Maintenance on Open Space and Mountain Parks,29,1
115,Phone Numbers,29,0
116,Street Sweeping,12,17
117,Public Tree Issues,26,3
118,Mosquitoes,13,15
119,Dog Parks and Dog Swimming,25,3
120,Pesticides,25,3
121,Sight Obstructions,27,1
122,Boulder Civic Area,27,0
123,Projects Under Review,27,0
124,"Parking Information - Hours, Rates and Holidays",27,0
125,Disposable Bag Fee,27,0
126,Wastewater Treatment,22,5
127,Claims,26,0
128,Downtown Employee Eco Pass (CAGID & BID),26,0
129,Park Shelter Rental,26,0
130,Fire Hydrants,25,0
131,Parking Permits,25,0
132,Recreation Facilities Issues,24,1
133,Contact Channel 8,12,13
134,Special Event Liquor Permits,25,0
135,Commercial Use Permits,24,0
136,Defenses in Non-Traffic Municipal Court Cases,24,0
137,City Boards and Commissions,24,0
138,Alley Maintenance,18,6
139,Affordable Rental Opportunities,24,0
140,Special Use Permits,23,0
141,Aircraft Noise,23,0
142,Pet Safety Tips,22,0
143,"Trash, Recycling and Compost Services",22,0
144,Special Trash Service (University Hill and Goss-Grove Neighborhoods),20,2
145,Current Affordable Homeowners,21,0
146,Boulder Revised Code,20,0
147,Report Substance Spills,19,0
148,Open Flame and Open Burning Regulations,19,0
149,Coyotes,19,0
150,Prosecution,18,0
151,City of Boulder Parking Map,18,0
152,Downtown Boulder - Pearl Street Mall,17,0
153,Homelessness and Homeless Services,17,0
154,Records Requests,17,0
155,Pearl Street and University Hill activity permit information,16,0
